#{"t_start": 1679129678.333805, "env_id": null}
r,l,t
1302.546734,500,118.377313
358.375704,298,118.578077
1302.581719,500,119.787174
610.288614,500,120.125718
610.786974,500,120.473483
205.188957,172,120.589481
609.705461,500,120.928596
808.745347,500,122.110992
609.160722,500,122.447322
613.55641,500,122.781366
808.798529,500,123.120116
1302.660201,500,124.317981
608.399358,500,124.658845
616.660964,500,125.003452
608.48563,500,125.336801
1302.675627,500,126.59344
615.981007,500,126.92696
1302.622624,500,127.276904
607.489703,500,127.610452
228.799847,193,127.739735
808.986271,500,128.938179
11.621455,7,128.943365
617.329649,500,129.284194
808.942204,500,129.626039
137.823975,116,129.704385
607.817068,500,130.957533
616.023144,500,131.305484
608.119637,500,131.645008
808.757384,500,131.980286
615.152288,500,132.324338
609.319892,500,133.551694
613.326553,500,133.893774
609.338883,500,134.238881
1302.601863,500,134.586985
611.806805,500,135.817804
1302.659711,500,136.159932
609.487596,500,136.492128
1302.681811,500,136.839131
1302.742021,500,138.027228
808.908827,500,138.371444
1302.712883,500,138.705589
1302.761833,500,139.078334
613.926704,500,140.276396
612.741348,500,140.625251
678.609467,263,140.811393
613.852328,500,141.146108
608.769551,500,142.401447
1302.668632,500,142.743479
609.24599,500,143.090307
608.936919,500,143.433915
1302.59835,500,144.785614
808.703819,500,145.118775
1302.615768,500,145.467022
808.611401,500,145.801581
808.448261,500,146.15275
609.253637,500,147.35767
808.621286,500,147.69589
609.278659,500,148.039964
1302.663999,500,148.382847
611.629678,500,149.574132
609.089865,500,149.912562
611.994817,500,150.240057
609.129196,500,150.581285
1302.566751,500,151.760406
613.327435,500,152.099907
612.512648,500,152.440424
1302.544924,500,152.778236
609.519324,500,153.943001
609.3612,500,154.290597
808.496096,500,154.628189
808.595867,500,154.97263
1302.587252,500,156.238722
615.169797,500,156.651323
808.634115,500,157.015676
609.034596,500,157.390186
1302.525133,500,159.545714
808.316954,500,159.888593
1302.543657,500,160.224902
609.535947,500,160.56493
808.494403,500,161.77413
612.68037,500,162.114898
609.309988,500,162.448576
609.38543,500,162.787976
1302.518434,500,163.997239
808.216139,500,164.347131
808.194136,500,164.686137
609.649306,500,165.027656
610.967132,500,166.225793
612.250104,500,166.570741
808.333023,500,166.90516
609.470698,500,167.245093
808.175154,500,168.469465
1302.50108,500,168.890995
613.322122,500,169.266742
808.726018,500,169.676706
612.814726,500,170.089095
1302.432487,500,171.522685
1302.390909,500,171.905697
1302.399791,500,172.297208
1302.385962,500,172.95064
1302.548443,500,176.286198
614.956128,500,176.622697
808.385053,500,176.96898
614.251891,500,177.312362
614.825389,500,178.597217
608.97569,500,178.93094
808.720795,500,179.271293
608.468111,500,179.60666
609.288951,500,180.791516
1302.633607,500,181.144706
609.319672,500,181.509996
808.584096,500,181.872902
616.582543,500,183.150639
1302.712605,500,183.489505
609.213835,500,183.832028
1302.659031,500,184.169288
1302.689805,500,185.406522
1302.672176,500,185.743958
1302.692036,500,186.095959
218.57493,181,186.219227
608.115813,500,186.579914
809.004281,500,187.828654
1302.718402,500,188.182075
809.033883,500,188.528893
81.221936,70,188.576312
808.954023,500,188.931374
808.98511,500,190.145973
181.26554,151,190.247206
609.105659,500,190.589548
809.021027,500,190.930381
1302.708047,500,191.282287
617.713023,500,192.536636
808.995851,500,192.885822
809.016159,500,193.240529
224.533373,186,193.370373
1302.684497,500,194.654805
616.153331,500,195.01275
808.778157,500,195.393945
615.903376,500,195.84231
615.881499,500,203.789979
609.462775,500,204.15164
1302.522061,500,204.489237
808.52465,500,204.818051
808.563436,500,206.021485
609.363152,500,206.350327
808.714836,500,206.690464
808.504489,500,207.027783
609.510742,500,207.36932
1302.596673,500,208.534417
808.435392,500,208.876402
609.561677,500,209.211003
615.163099,500,209.545717
614.593584,500,210.702239
1302.624465,500,211.038087
609.259939,500,211.365639
609.368402,500,211.701149
613.668064,500,212.897188
609.36837,500,213.250954
609.482161,500,213.605559
609.521797,500,213.943268
1302.563216,500,215.280185
609.798693,500,215.657824
1302.446793,500,216.025224
613.498833,500,216.401835
609.512663,500,217.660006
613.313385,500,218.00573
613.930725,500,218.346772
808.322493,500,218.693104
613.245511,500,219.919448
1302.400781,500,220.265656
612.843443,500,220.603338
612.411895,500,220.94589
609.751732,500,222.161582
609.912537,500,222.50954
808.148458,500,222.848695
808.270029,500,223.191596
808.042378,500,224.448624
610.084642,500,224.800414
614.681232,500,225.141408
808.223951,500,225.50166
614.272183,500,226.840378
609.957923,500,227.270839
808.361401,500,227.744429
1302.469543,500,228.142998
808.187488,500,231.197665
615.027787,500,231.546386
808.515853,500,231.884078
609.810251,500,232.225007
609.815897,500,233.441504
609.836688,500,233.796897
1302.51548,500,234.133134
1302.513828,500,234.482619
609.923345,500,234.821066
1302.527021,500,236.040237
1302.543894,500,236.377359
808.248338,500,236.721505
808.354007,500,237.056826
808.310711,500,238.288494
1302.426811,500,238.624985
610.017839,500,238.967418
1302.38831,500,239.304619
613.559313,500,240.552835
1302.412933,500,240.893025
613.105832,500,241.233209
609.994939,500,241.571035
609.944317,500,243.274905
808.074358,500,243.933228
808.133043,500,244.619881
613.37381,500,245.235628
609.816952,500,247.353086
1302.449557,500,247.697266
609.830189,500,248.040451
1302.422555,500,248.37164
1302.459883,500,249.544095
609.778394,500,249.876935
808.380766,500,250.213806
808.476024,500,250.543703
609.716541,500,251.740929
609.776148,500,252.071819
616.512494,500,252.413332
616.611435,500,252.746694
609.776545,500,253.931531
1302.658376,500,254.27347
617.693999,500,254.622793
609.695274,500,254.95795
808.791863,500,256.268452
1302.556334,500,256.603346
808.651588,500,256.950775
609.96447,500,257.324755
609.887161,500,258.728341
609.774146,500,259.070261
609.769883,500,259.416103
1302.64029,500,259.761185
1302.629477,500,260.109749
618.352881,500,261.357339
808.801472,500,261.697946
76.263796,66,261.742909
1302.663434,500,262.086163
808.776667,500,263.341315
430.620168,352,263.59835
1302.693627,500,263.944292
1302.6951,500,264.291771
146.898502,123,264.374889
808.903824,500,264.719899
1302.658489,500,266.003066
609.842943,500,266.349638
1302.644267,500,266.689919
609.892345,500,267.035496
609.921001,500,268.345015
443.617366,363,268.599427
808.705151,500,268.948698
618.108901,500,269.311638
1302.630661,500,270.718642
610.051915,500,271.062002
617.479725,500,271.395986
1302.620288,500,271.732842
1302.59836,500,273.049688
1302.567079,500,273.436057
808.432332,500,273.794547
1302.551004,500,274.180655
610.14817,500,293.541081
617.291417,500,294.050354
1302.558508,500,294.606938
617.640222,500,295.231349
610.180686,500,312.596139
1302.505526,500,313.223308
1302.530819,500,313.778728
610.178878,500,314.423797
1302.546666,500,319.868943
1302.579974,500,320.22211
1302.598688,500,320.550653
808.500119,500,320.896163
808.430942,500,321.230678
1302.540212,500,324.931237
617.730177,500,325.359272
808.554687,500,325.806825
610.025133,500,326.228007
617.296748,500,333.077522
617.352283,500,333.479326
609.869985,500,333.940624
808.482559,500,334.346842
616.895938,500,340.933867
1302.49171,500,341.344295
615.940078,500,341.774258
1302.499716,500,342.224685
1302.57261,500,350.478372
609.902786,500,350.898319
609.964597,500,351.363898
808.549643,500,351.763466
1302.57923,500,364.655847
609.897838,500,365.224697
